src_ip,dst_ip,src_port,dst_port,protocol,packet_count,byte_count,duration_sec,packets_per_sec,bytes_per_sec,syn_count,ack_count,fin_count,rst_count,label
204.79.197.222,172.20.10.4,443,51306,TCP,1,54,0.000,1.000,54.000,0,1,0,1,normal
140.82.114.22,172.20.10.4,443,53243,TCP,1,54,0.000,1.000,54.000,0,1,0,1,normal
77.214.51.19,172.20.10.4,443,51553,TCP,1,78,0.000,1.000,78.000,0,1,1,0,normal
172.20.10.4,34.8.7.18,49535,443,TCP,1,55,0.000,1.000,55.000,0,1,0,0,normal
34.8.7.18,172.20.10.4,443,49535,TCP,1,66,0.000,1.000,66.000,0,1,0,0,normal
172.20.10.3,172.20.10.15,137,137,UDP,3,276,0.000,13786.765,1268382.353,0,0,0,0,normal
140.82.121.6,172.20.10.4,443,52067,TCP,1,54,0.000,1.000,54.000,0,1,0,1,normal
fe80::f871:a6ff:fecc:2464,fe80::8ae0:16c6:8a25:e6dd,53,49456,UDP,1,232,0.000,1.000,232.000,0,0,0,0,normal
172.20.10.4,172.20.10.1,49456,53,UDP,1,92,0.000,1.000,92.000,0,0,0,0,normal
fe80::8ae0:16c6:8a25:e6dd,fe80::f871:a6ff:fecc:2464,49456,53,UDP,1,112,0.000,1.000,112.000,0,0,0,0,normal
77.214.51.19,172.20.10.4,443,63925,TCP,4,312,12.087,0.331,25.814,0,4,4,0,normal
77.214.51.19,172.20.10.4,443,63924,TCP,3,234,11.081,0.271,21.117,0,3,3,0,normal
172.20.10.4,13.227.180.4,62826,443,TCP,2,108,0.000,1000000.000,54000000.000,0,2,1,0,normal
13.227.180.4,172.20.10.4,443,62826,TCP,3,201,0.000,107526.882,7204301.075,0,3,1,0,normal
172.20.10.1,172.20.10.4,53,49456,UDP,1,212,0.000,1.000,212.000,0,0,0,0,normal
77.214.51.25,172.20.10.4,443,63532,TCP,1,54,0.000,1.000,54.000,0,1,0,1,normal
15.197.213.252,172.20.10.4,443,63526,TCP,1,66,0.000,1.000,66.000,0,1,0,0,normal
fe80::8ae0:16c6:8a25:e6dd,fe80::f871:a6ff:fecc:2464,0,0,IP,2,172,0.000,19801.980,1702970.297,0,0,0,0,normal
20.189.173.6,172.20.10.4,443,63305,TCP,10,5599,1.010,9.901,5543.763,1,10,1,0,normal
172.20.10.4,172.211.123.250,64559,443,TCP,1,55,0.000,1.000,55.000,0,1,0,0,normal
172.20.10.4,20.189.173.6,63305,443,TCP,10,3336,1.010,9.901,3302.995,1,9,1,0,normal
172.20.10.4,15.197.213.252,63526,443,TCP,1,55,0.000,1.000,55.000,0,1,0,0,normal
fe80::f871:a6ff:fecc:2464,fe80::8ae0:16c6:8a25:e6dd,0,0,IP,2,164,0.000,63291.139,5189873.418,0,0,0,0,normal
172.211.123.250,172.20.10.4,443,64559,TCP,1,66,0.000,1.000,66.000,0,1,0,0,normal
172.20.10.4,172.211.123.250,65387,443,TCP,2,151,0.000,23752.969,1793349.169,0,2,0,0,normal
172.20.10.4,140.82.112.22,63295,443,TCP,1,55,0.000,1.000,55.000,0,1,0,0,normal
20.50.73.11,172.20.10.4,443,63306,TCP,9,7408,0.000,217391.304,178937198.068,1,9,0,0,normal
172.211.123.250,172.20.10.4,443,65387,TCP,1,228,0.000,1.000,228.000,0,1,0,0,normal
172.20.10.4,135.225.243.52,55434,443,TCP,2,158,0.000,54347.826,4293478.261,0,2,0,0,normal
140.82.112.22,172.20.10.4,443,63295,TCP,1,66,0.000,1.000,66.000,0,1,0,0,normal
172.20.10.4,185.199.110.154,52227,443,TCP,1,55,0.000,1.000,55.000,0,1,0,0,normal
135.225.243.52,172.20.10.4,443,55434,TCP,1,93,0.000,1.000,93.000,0,1,0,0,normal
172.20.10.4,20.50.73.11,63306,443,TCP,8,2109,0.000,137931.034,36362068.966,1,7,0,0,normal
185.199.110.154,172.20.10.4,443,52227,TCP,1,66,0.000,1.000,66.000,0,1,0,0,normal
172.20.10.4,192.178.223.188,53560,5228,TCP,1,55,0.000,1.000,55.000,0,1,0,0,normal
52.182.143.208,172.20.10.4,443,63538,TCP,1,66,0.000,1.000,66.000,0,1,0,0,normal
192.178.223.188,172.20.10.4,5228,53560,TCP,1,66,0.000,1.000,66.000,0,1,0,0,normal
172.20.10.4,52.182.143.208,63538,443,TCP,1,55,0.000,1.000,55.000,0,1,0,0,normal
20.50.88.244,172.20.10.4,443,63539,TCP,1,54,0.000,1.000,54.000,0,1,1,0,normal
172.20.10.4,20.50.88.244,63547,443,TCP,2,108,0.000,59347.181,3204747.774,0,2,1,0,normal
20.50.88.244,172.20.10.4,443,63547,TCP,1,54,0.000,1.000,54.000,0,1,1,0,normal
172.20.10.4,20.50.88.244,63539,443,TCP,2,108,0.000,235294.118,12705882.353,0,2,1,0,normal
fe80::8ae0:16c6:8a25:e6dd,fe80::f871:a6ff:fecc:2464,56895,53,UDP,1,112,0.000,1.000,112.000,0,0,0,0,normal
77.214.51.24,172.20.10.4,80,59486,TCP,1,54,0.000,1.000,54.000,0,1,1,0,normal
172.20.10.4,95.101.193.200,59485,80,TCP,2,108,0.000,8722.198,470998.692,0,2,1,0,normal
172.20.10.4,51.116.246.106,63307,443,TCP,10,2511,0.000,150375.940,37759398.496,1,9,1,0,normal
